Protein,Ligand,Complex,Affinity
3V83,139585407,3V83_139585407,-6.7
3V83,139585417,3V83_139585417,-5.4
3V83,139585423,3V83_139585423,-5.6
3V83,139585431,3V83_139585431,-7.3
3V83,139585435,3V83_139585435,-5.8
3V83,139585440,3V83_139585440,-6.4
3V83,139585447,3V83_139585447,-7.1
3V83,139585453,3V83_139585453,-6.2
3V83,139585460,3V83_139585460,-7.7
3V83,139585478,3V83_139585478,-5.9
3V83,139585487,3V83_139585487,-7.2
3V83,139585488,3V83_139585488,-5.7
3V83,139585494,3V83_139585494,-6.1
3V83,139585498,3V83_139585498,-5.9
3V83,139585507,3V83_139585507,-6.5
3V83,139585511,3V83_139585511,-6.1
3V83,139585513,3V83_139585513,-6.7
3V83,139585525,3V83_139585525,-6.3
3V83,139585538,3V83_139585538,-5.9
3V83,139585549,3V83_139585549,-6.5
3V83,139585551,3V83_139585551,-6.4
3V83,139585562,3V83_139585562,-5.7
3V83,139585563,3V83_139585563,-6.0
3V83,139585574,3V83_139585574,-8.3
3V83,139585579,3V83_139585579,-7.9
3V83,139585582,3V83_139585582,-5.0
3V83,139585586,3V83_139585586,-5.6
3V83,139585598,3V83_139585598,-7.3
3V83,139585609,3V83_139585609,-6.0
3V83,139585616,3V83_139585616,-5.6
3V83,139585622,3V83_139585622,-5.4
3V83,139585643,3V83_139585643,-6.9
3V83,139585649,3V83_139585649,-5.1
3V83,139585658,3V83_139585658,-6.4
3V83,139585659,3V83_139585659,-9.3
3V83,139585662,3V83_139585662,-6.7
3V83,139585675,3V83_139585675,-7.6
3V83,139585679,3V83_139585679,-5.4
3V83,139585681,3V83_139585681,-7.0
3V83,139585683,3V83_139585683,-5.6
3V83,139585700,3V83_139585700,-6.3
3V83,139585712,3V83_139585712,-6.3
3V83,139585713,3V83_139585713,-7.2
3V83,139585719,3V83_139585719,-6.4
3V83,139585723,3V83_139585723,-5.5
3V83,139585725,3V83_139585725,-7.0
3V83,139585730,3V83_139585730,-7.9
3V83,139585741,3V83_139585741,-7.6
3V83,139585750,3V83_139585750,-6.5
