Gene,uniprot_id,Template,Oligomeric state,resolution,GMQE,Seq_identity,disall,chain,Experimetal methodoly,Description
CCL22,O00626,2q8r.1.A,homo-dimer,1.8 A,0.47,32.31%,0.00%,A,X-ray,Structural and Functional Characterization of CC Chemokine CCL14
LRG1,P02750,3zyi.1.A,monomer,2.6 A,0.61,24.67,0,A,X-ray,LEUCINE-RICH REPEAT-CONTAINING PROTEIN 4. NetrinG2 in complex with NGL2
TBX6,O95947,6f59.1.C,homo-dimer,2.2 A,0.31,62.17,0,C,X-ray,Brachyury protein. Crystal structure of human Brachyury (T) G177D variant in complex with DNA
COG8,Q96MW5,2d2s.1.A,monomer,2.8 A,0.2,14.42,0,A,X-ray,Exocyst complex component EXO84. Crystal Structure of the Exo84p C-terminal Domains
FBLN5,Q9UBX5,6pog.1.B ,hetero-dimer,2.8 A,0.26,35,3,B,X-ray,Protein kinase C-binding protein NELL2. Crystal structure of the NELL2 EGF1-6-Robo3 FN1 complex
AHSG,P02765,7auw.1.B,hetero-tetramer,2.8 A,0.4,28.35,0.5,B,X-ray,Fetuin-B. Inhibitory complex of human meprin beta with mouse fetuin-B
HSPA4,P34932,2qxl.1.A ,homo-dimer,2.4 A,0.66,39.45,1,A,X-ray,"Heat shock protein homolog SSE1. Crystal Structure Analysis of Sse1, a yeast Hsp110"
CCN2,P29279,5nb8.1.A,monomer,2.1 A,0.12,51.65,0,A,X-ray,Protein NOV homolog. Structure of vWC domain from CCN3
VCAN,P13611,5ao6.2.A,monomer,3.4 A,0,36.96,3.3,A,X-ray,"C-TYPE MANNOSE RECEPTOR 2. Endo180 D1-4, trigonal form"
KRT18,P05783,6jlb.1.C ,homo-tetramer,3.2 A,0.35,33.79,0.4,B,X-ray,Lamin A/C. Crystal structure of lamin A/C fragment and assembly mechanisms of intermediate filaments
ADAM12,O43184,2erq.1.A,homo-dimer,2.5A,0.41,41.01,0.3,A,X-ray,Vascular apoptosis-inducing protein 1. Crystal structure of vascular apoptosis-inducing protein-1(tetragonal crystal form)
PKHD1,P08F94,5l59.2.A,monomer,6.0 A,0,20.77,1,A,X-ray,"Plexin-A1. Plexin A1 full extracellular region, domains 1 to 10, to 6 angstrom, spacegroup P2(1)"
STMN1,P16949,5jcb.1.E,hetero-hexamer,2.3 A,0.83,70.92,0,E,X-ray,Stathmin. Microtubule depolymerizing agent podophyllotoxin derivative YJTSF1
ABCC4,O15439,6uy0.1.A ,monomer,3.2 A,0.68,37.19,0.2,A,EM,Multidrug resistance-associated protein 1. Cryo-EM structure of wild-type bovine multidrug resistance protein 1 (MRP1) under active turnover conditions
AVP,P01185,2bn2.2.B ,homo-dimer,2.8 A,0.37,93.55,0,A,X-ray,NEUROPHYSIN II. CRYSTAL STRUCTURE OF BOVINE NEUROPHYSIN II COMPLEXED WITH THE VASOPRESSIN ANALOGUE PHE-TYR AMIDE
TFE3,P19532,6g1l.1.A ,homo-dimer,2.4 A,0.1,82.88,0,A,X-ray,Microphthalmia-associated transcription factor. MITF/CLEARbox structure
KRT19,P08727,6jlb.1.C ,homo-tetramer,3.2 A,0.33,31.92,0.6,B,X-ray,Lamin A/C. Crystal structure of lamin A/C fragment and assembly mechanisms of intermediate filaments
WFDC2,Q14508,1udk.1.A,monomer,N/A,0.3,48.98,0,A,NMR,Nawaprin. Solution Structure of Nawaprin
CD163,Q86VB7,5a2e.1.A,monomer,3.1 A,0.2,37.5,2.4,A,X-ray,T-CELL DIFFERENTIATION ANTIGEN CD6. Extracellular SRCR domains of human CD6
KRT8,P05787,6jlb.1.C ,homo-tetramer,3.2 A,0.12,32.12,0.4,D,X-ray,Lamin A/C. Crystal structure of lamin A/C fragment and assembly mechanisms of intermediate filaments	
IGFBP7,Q16270,3tjq.1.A,monomer,2.0 A,0.28,43.8,0,A,X-ray,Serine protease HTRA1. N-domain of HtrA1
SEMA3A,Q14563,4gz8.1.A ,homo-dimer,3.3 A,0.77,96.72,0.3,A,X-ray,"Semaphorin-3A. Mouse Semaphorin 3A, domains Sema-PSI-IG"
SFRP2,Q96HF1,5xgp.1.A,monomer,2.1 A,0.64,32.68,0.4,A,X-ray,Secreted Xwnt8 inhibitor sizzled. Structure of Sizzled from Xenopus laevis at 2.08 angstroms resolution
CXCL9,Q07325,6ehz.1.A ,monomer,N/A,0.48,30.43,1.2,A,NMR,Stromal cell-derived factor . NMR solution structure of murine CXCL12 gamma isoform
SLC22A2,O15244,4lds.1.B,homo-dimer,3.2 A,0.42,22.02,0.3,B,X-ray,Glucose transporter GlcP. The inward-facing structure of the glucose transporter from Staphylococcus epidermidis
HOXA9,P31269,5zjq.1.A,hetero-dimer,2.4 A,0.12,61.25,0,A,X-ray,Homeobox protein abdominal-B. Structure of AbdB/Exd complex bound to a 'Red14' DNA sequence
GOLM1,Q8NBJ4,3na7.1.A ,monomer,2.2 A,0.16,12.5,0,A,X-ray,HP0958. 2.2 Angstrom Structure of the HP0958 Protein from Helicobacter pylori CCUG 17874
CFAP251,Q8TBY9,4ci8.2.A,monomer,2.6 A,0.27,15.15,1.2,A,X-ray,ECHINODERM MICROTUBULE-ASSOCIATED PROTEIN-LIKE 1. Crystal structure of the tandem atypical beta-propeller domain of EML1
SLC22A6,Q4U2R8,6h7d.1.A ,monomer,2.4 A,0.4,17.28,0,A,X-ray,Sugar transport protein 10. Crystal Structure of A. thaliana Sugar Transport Protein 10 in complex with glucose in the outward occluded state
CXCL16,Q9H2A7,7o7f.1.E,hetero-heptamer,N/A,0.09,21.54,0,E,EM,C-C motif chemokine 5. Structural basis of the activation of the CC chemokine receptor 5 by a chemokine agonist
SLC12A3,P55017,6npl.1.B ,homo-dimer,N/A,0.75,54.43,0.5,A,EM,"Solute carrier family 12 (sodium/potassium/chloride transporter), member 2. Cryo-EM structure of NKCC1"
FAAH,O00519,2wj1.1.A ,homo-dimer,1.8 A,0.94,85.12,0.2,A,X-ray,"FATTY-ACID AMIDE HYDROLASE 1. 3D-CRYSTAL STRUCTURE OF HUMANIZED-RAT FATTY ACID AMIDE HYDROLASE (FAAH). CONJUGATED WITH 7-PHENYL-1-(4-(PYRIDIN-2-YL)OXAZOL-2-YL)HEPTAN-1-ONE, AN ALPHA-KETOOXAZOLE"
TRPM8,Q7Z2W7,6o77.1.A ,homo-tetramer,N/A,0.77,82.66,,A,EM,"Transient receptor potential cation channel subfamily M member 8. Structure of the TRPM8 cold receptor by single particle electron cryo-microscopy, calcium-bound state"
SFRP4,Q6FHJ7,5xgp.1.A ,monomer,2.1 A,0.39,21.28,0.4,A,X-ray,Secreted Xwnt8 inhibitor sizzled. structure of Sizzled from Xenopus laevis at 2.08 angstroms resolution
PLIN2,Q99541,1szi.1.A,monomer,2.8 A,0.34,37.45,0,A,X-ray,mannose-6-phosphate receptor binding protein 1. Crystal Structure of the C-terminus of TIP47
KRT20,P35900,6jlb.1.C ,homo-tetramer,3.2 A,0.39,21.93,0,C,X-ray,Lamin A/C. Crystal structure of lamin A/C fragment and assembly mechanisms of intermediate filaments
